"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2014","2014","USD","US Dollar","0","Units",,,1733149682,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2015","2015","USD","US Dollar","0","Units",,,1716650616,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2016","2016","USD","US Dollar","0","Units",,,1648814008,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2017","2017","USD","US Dollar","0","Units",,,2148671568,,
"AUS","Australia","EXP","Exports","NLD","Netherlands","A","Annual","2018","2018","USD","US Dollar","0","Units",,,2432427924,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2011","2011","USD","US Dollar","0","Units",,,7440270130,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2012","2012","USD","US Dollar","0","Units",,,7403001182,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2013","2013","USD","US Dollar","0","Units",,,6781413636,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2014","2014","USD","US Dollar","0","Units",,,6977441745,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2015","2015","USD","US Dollar","0","Units",,,6087315953,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2016","2016","USD","US Dollar","0","Units",,,6409643435,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2017","2017","USD","US Dollar","0","Units",,,6812391383,,
"AUS","Australia","EXP","Exports","NZL","New Zealand","A","Annual","2018","2018","USD","US Dollar","0","Units",,,7136034320,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2011","2011","USD","US Dollar","0","Units",,,48103181,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2012","2012","USD","US Dollar","0","Units",,,52813584,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2013","2013","USD","US Dollar","0","Units",,,86085861,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2014","2014","USD","US Dollar","0","Units",,,181381813,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2015","2015","USD","US Dollar","0","Units",,,41291475,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2016","2016","USD","US Dollar","0","Units",,,41793722,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2017","2017","USD","US Dollar","0","Units",,,50863059,,
"AUS","Australia","EXP","Exports","NOR","Norway","A","Annual","2018","2018","USD","US Dollar","0","Units",,,116966463,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2011","2011","USD","US Dollar","0","Units",,,28489826,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2012","2012","USD","US Dollar","0","Units",,,65118366,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2013","2013","USD","US Dollar","0","Units",,,130675729,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2014","2014","USD","US Dollar","0","Units",,,290864811,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2015","2015","USD","US Dollar","0","Units",,,249606599,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2016","2016","USD","US Dollar","0","Units",,,225181536,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2017","2017","USD","US Dollar","0","Units",,,332824741,,
"AUS","Australia","EXP","Exports","POL","Poland","A","Annual","2018","2018","USD","US Dollar","0","Units",,,352427164,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2011","2011","USD","US Dollar","0","Units",,,14516864,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2012","2012","USD","US Dollar","0","Units",,,9135830,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2013","2013","USD","US Dollar","0","Units",,,15653815,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2014","2014","USD","US Dollar","0","Units",,,16773381,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2015","2015","USD","US Dollar","0","Units",,,13055788,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2016","2016","USD","US Dollar","0","Units",,,12353269,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2017","2017","USD","US Dollar","0","Units",,,40728145,,
"AUS","Australia","EXP","Exports","PRT","Portugal","A","Annual","2018","2018","USD","US Dollar","0","Units",,,30779289,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1864807,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2012","2012","USD","US Dollar","0","Units",,,2657697,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1318840,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2014","2014","USD","US Dollar","0","Units",,,2941010,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2015","2015","USD","US Dollar","0","Units",,,2566615,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2016","2016","USD","US Dollar","0","Units",,,17714457,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2017","2017","USD","US Dollar","0","Units",,,1985255,,
"AUS","Australia","EXP","Exports","SVK","Slovak Republic","A","Annual","2018","2018","USD","US Dollar","0","Units",,,2561248,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2011","2011","USD","US Dollar","0","Units",,,694315878,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2012","2012","USD","US Dollar","0","Units",,,487054437,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2013","2013","USD","US Dollar","0","Units",,,365283622,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2014","2014","USD","US Dollar","0","Units",,,441782191,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2015","2015","USD","US Dollar","0","Units",,,401321899,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2016","2016","USD","US Dollar","0","Units",,,347401430,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2017","2017","USD","US Dollar","0","Units",,,448716840,,
"AUS","Australia","EXP","Exports","ESP","Spain","A","Annual","2018","2018","USD","US Dollar","0","Units",,,625625793,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2011","2011","USD","US Dollar","0","Units",,,450936984,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2012","2012","USD","US Dollar","0","Units",,,356504109,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2013","2013","USD","US Dollar","0","Units",,,238325470,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2014","2014","USD","US Dollar","0","Units",,,255087664,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2015","2015","USD","US Dollar","0","Units",,,208004910,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2016","2016","USD","US Dollar","0","Units",,,184829695,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2017","2017","USD","US Dollar","0","Units",,,229087397,,
"AUS","Australia","EXP","Exports","SWE","Sweden","A","Annual","2018","2018","USD","US Dollar","0","Units",,,292999561,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2011","2011","USD","US Dollar","0","Units",,,667820036,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2012","2012","USD","US Dollar","0","Units",,,685729357,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2013","2013","USD","US Dollar","0","Units",,,794732064,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2014","2014","USD","US Dollar","0","Units",,,494355453,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2015","2015","USD","US Dollar","0","Units",,,590274265,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2016","2016","USD","US Dollar","0","Units",,,779204931,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2017","2017","USD","US Dollar","0","Units",,,1093695476,,
"AUS","Australia","EXP","Exports","CHE","Switzerland","A","Annual","2018","2018","USD","US Dollar","0","Units",,,869203527,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2011","2011","USD","US Dollar","0","Units",,,576995547,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2012","2012","USD","US Dollar","0","Units",,,685620204,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2013","2013","USD","US Dollar","0","Units",,,857393114,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2014","2014","USD","US Dollar","0","Units",,,442779449,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2015","2015","USD","US Dollar","0","Units",,,357280147,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2016","2016","USD","US Dollar","0","Units",,,402620380,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2017","2017","USD","US Dollar","0","Units",,,1121691386,,
"AUS","Australia","EXP","Exports","TUR","Turkey","A","Annual","2018","2018","USD","US Dollar","0","Units",,,330196969,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2011","2011","USD","US Dollar","0","Units",,,7467858947,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2012","2012","USD","US Dollar","0","Units",,,6621229282,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2013","2013","USD","US Dollar","0","Units",,,3531071151,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2014","2014","USD","US Dollar","0","Units",,,3307117589,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2015","2015","USD","US Dollar","0","Units",,,2750048251,,
"AUS","Australia","EXP","Exports","GBR","United Kingdom","A","Annual","2016","2016","USD","US Dollar","0","Units",,,7422483085,,
